2026-05-31T08:21:36.482Z: Error: Request timed out.
2026-05-31T08:26:21.629Z: Error: Request timed out.
2026-05-31T08:31:18.089Z: [AI Request] Provider: deepseek | Model: deepseek-v4-pro | BaseURL: https://api.deepseek.com | APIKey: sk-0cc...9ccb | Stream: true
2026-05-31T08:31:53.022Z: Error: Request timed out.
2026-05-31T08:35:18.137Z: [AI Request] Provider: deepseek | Model: deepseek-v4-pro | BaseURL: https://api.deepseek.com | APIKey: sk-0cc...9ccb | Stream: true
2026-05-31T08:35:52.713Z: Error: Request timed out.
2026-05-31T08:36:47.966Z: [AI Request] Provider: deepseek | Model: deepseek-v4-pro | BaseURL: https://api.deepseek.com | APIKey: sk-0cc...9ccb | Stream: true
2026-05-31T08:37:26.033Z: Error: Request timed out.
2026-05-31T08:42:05.070Z: [AI Request] Provider: deepseek | Model: deepseek-chat | BaseURL: https://api.deepseek.com | APIKey: sk-0cc...9ccb | Stream: true
2026-05-31T08:42:39.247Z: Error: Request timed out.
2026-05-31T08:49:58.847Z: [AI Request] Provider: deepseek | Model: deepseek-chat | BaseURL: https://api.deepseek.com | APIKey: sk-0cc...9ccb | Stream: false
2026-05-31T08:50:32.351Z: Error: Request timed out.
2026-05-31T08:50:49.305Z: [AI Request] Provider: xiaomi | Model: mimo-v2.5-pro | BaseURL: https://token-plan-cn.xiaomimimo.com/v1 | APIKey: tp-c9i...tvce | Stream: false
2026-05-31T08:51:23.794Z: Error: Request timed out.
2026-05-31T08:52:09.921Z: [AI Request] Provider: xiaomi | Model: mimo-v2.5-pro | BaseURL: https://token-plan-cn.xiaomimimo.com/v1 | APIKey: tp-c9i...tvce | Stream: false
2026-05-31T08:52:43.214Z: Error: Request timed out.
2026-05-31T08:52:57.540Z: [AI Request] Provider: xiaomi | Model: mimo-v2.5-pro | BaseURL: https://token-plan-cn.xiaomimimo.com/v1 | APIKey: tp-c9i...tvce | Stream: false
2026-05-31T08:53:35.782Z: Error: Request timed out.
2026-05-31T09:22:24.759Z: [AI Request] Provider: xiaomi | Model: mimo-v2.5-pro | BaseURL: https://token-plan-cn.xiaomimimo.com/v1 | APIKey: tp-c9i...tvce | Stream: false
2026-05-31T09:22:56.482Z: Error: Request timed out.
2026-05-31T09:27:39.779Z: [AI Request] Provider: xiaomi | Model: mimo-v2.5-pro | BaseURL: https://token-plan-cn.xiaomimimo.com/v1 | APIKey: tp-c9i...tvce | Stream: false | Proxy candidates: http://127.0.0.1:9674
2026-05-31T09:27:47.405Z: [AI Request] Provider: xiaomi | Model: mimo-v2.5-pro | BaseURL: https://token-plan-cn.xiaomimimo.com/v1 | APIKey: tp-c9i...tvce | Stream: true | Proxy candidates: http://127.0.0.1:9674
2026-05-31T09:28:18.078Z: [AI Request] Provider: xiaomi | Model: mimo-v2.5-pro | BaseURL: https://token-plan-cn.xiaomimimo.com/v1 | APIKey: tp-c9i...tvce | Stream: true | Proxy candidates: http://127.0.0.1:9674
2026-05-31T09:31:02.751Z: [AI Request] Provider: xiaomi | Model: mimo-v2.5-pro | BaseURL: https://token-plan-cn.xiaomimimo.com/v1 | APIKey: invali...alid | Stream: false | Proxy candidates: http://127.0.0.1:7890, http://127.0.0.1:9674
2026-05-31T09:31:03.405Z: Error: 401 Invalid API Key
2026-05-31T09:32:15.727Z: [AI Request] Provider: xiaomi | Model: mimo-v2.5-pro | BaseURL: https://token-plan-cn.xiaomimimo.com/v1 | APIKey: tp-c9i...tvce | Stream: false | Proxy candidates: http://127.0.0.1:9674
2026-05-31T09:32:24.182Z: [AI Request] Provider: deepseek | Model: deepseek-chat | BaseURL: https://api.deepseek.com | APIKey: tp-c9i...tvce | Stream: false | Proxy candidates: http://127.0.0.1:9674
2026-05-31T09:32:24.945Z: Error: 401 Authentication Fails, Your api key: ****tvce is invalid
2026-05-31T09:32:31.960Z: [AI Request] Provider: xiaomi | Model: mimo-v2.5-pro | BaseURL: https://token-plan-cn.xiaomimimo.com/v1 | APIKey: tp-c9i...tvce | Stream: false | Proxy candidates: http://127.0.0.1:9674
2026-05-31T09:56:04.624Z: [AI Request] Provider: xiaomi | Model: mimo-v2.5-pro | BaseURL: https://token-plan-cn.xiaomimimo.com/v1 | APIKey: tp-c9i...tvce | Stream: true | Proxy candidates: http://127.0.0.1:9674
2026-05-31T09:56:10.813Z: [AI Request] Provider: xiaomi | Model: mimo-v2.5-pro | BaseURL: https://token-plan-cn.xiaomimimo.com/v1 | APIKey: tp-c9i...tvce | Stream: true | Proxy candidates: http://127.0.0.1:9674
2026-05-31T09:56:27.934Z: [AI Request] Provider: xiaomi | Model: mimo-v2.5-pro | BaseURL: https://token-plan-cn.xiaomimimo.com/v1 | APIKey: tp-c9i...tvce | Stream: true | Proxy candidates: http://127.0.0.1:9674
2026-05-31T09:56:43.321Z: [AI Request] Provider: xiaomi | Model: mimo-v2.5-pro | BaseURL: https://token-plan-cn.xiaomimimo.com/v1 | APIKey: tp-c9i...tvce | Stream: true | Proxy candidates: http://127.0.0.1:9674
2026-05-31T09:56:47.536Z: [AI Request] Provider: xiaomi | Model: mimo-v2.5-pro | BaseURL: https://token-plan-cn.xiaomimimo.com/v1 | APIKey: tp-c9i...tvce | Stream: true | Proxy candidates: http://127.0.0.1:9674
